id,date,amount
0,07/10,+1337.19
1,09/16,+5492.85
2,08/13,-357.84
3,04/08,-5847.81
4,08/15,+5150.02
5,03/22,+2753.64
6,01/22,-7798.91
7,11/25,-2015.47
8,07/11,-1598.53
9,05/19,-10.02
10,01/01,-8944.08
11,12/18,-767.93
12,05/04,-4519.08
13,08/08,-7535.55
14,05/15,-9408.15
15,06/16,+5123.60
16,11/14,+4783.78
17,01/17,-7459.20
18,09/15,-9562.93
19,10/22,+8044.92
20,11/12,-3869.78
21,01/21,+7673.27
22,02/04,-3973.98
23,03/19,+9386.31
24,06/25,-2171.36
25,03/07,-1626.96
26,08/19,+7676.56
27,09/20,-48.77
28,03/31,+5642.47
29,06/03,-4450.39
30,02/09,-9236.34
31,11/20,+3277.32
32,03/04,-496.27
33,04/20,-6539.81
34,01/15,-7995.88
35,11/05,-718.45
36,06/08,+6170.51
37,12/17,+2262.45
38,11/17,+7910.78
39,08/29,+6406.83
40,02/01,+4027.18
41,02/01,-6905.93
42,02/06,+1196.31
43,08/11,-3386.56
44,01/21,+5151.43
45,12/20,+8202.17
46,07/07,-5597.72
47,12/26,-7710.47
48,03/04,-6905.24
49,06/10,+1173.06
50,04/26,-3414.31
51,02/19,-5607.85
52,02/18,+2013.45
53,11/21,+1381.76
54,12/09,+2032.02
55,10/06,-5892.20
56,02/16,-9674.99
57,01/29,-9117.89
58,05/26,-5512.74
59,10/25,-8752.53
60,07/13,-1387.54
61,09/18,+4176.52
62,06/24,+3865.24
63,01/05,-6276.37
64,12/27,+1556.62
65,09/27,-3681.04
66,10/27,-1860.61
67,03/16,-130.74
68,03/04,-9857.43
69,01/28,+7782.17
70,10/26,-3536.63
71,07/06,-4806.68
72,08/24,-2286.85
73,10/07,-7309.33
74,04/07,+9065.50
75,11/15,+8690.30
76,11/04,+5507.04
77,05/01,+2455.54
78,08/14,-1580.77
79,08/11,+4429.24
80,09/27,-279.54
81,03/25,-3647.22
82,11/19,+7806.92
83,10/24,-2727.15
84,02/21,+2847.95
85,11/18,-7738.86
86,05/03,+8683.89
87,05/31,-1543.97
88,07/13,-7185.51
89,05/20,-9342.99
90,02/29,+3769.53
91,08/01,+511.25
92,03/10,-5285.04
93,05/01,-2911.81
94,01/21,+9899.00
95,09/06,+145.16
96,09/07,+220.84
97,09/06,+9949.01
98,05/13,-9588.17
99,12/25,+382.52
100,08/29,+7516.97
101,09/05,+9566.35
102,11/07,+3348.44
103,05/28,+9484.95
104,02/05,-4035.13
105,05/28,-6459.25
106,11/15,+2173.69
107,12/16,+8438.21
108,12/12,-5486.36
